"id","title","authors","year","venue","doi_or_official_url","deep_review","code_url","method_family","pa_type","carrier_GHz","bandwidth_MHz","sample_rate_Msps","waveform","dataset_or_setup","training_method","feedback_or_adaptation","nmse_dB","evm","aclr_acpr","papr","model_size","inference_cost","bit_width","hardware_evidence","physical_pa_evidence","limitations","project_applicability","directly_comparable_to_OpenDPDv2","evidence_class","nrmse_percent","nmse_scope","spectral_scope_and_convention"
"D011","Decorrelation-Based Concurrent Digital Predistortion With a Single Feedback Path","Mahmoud Abdelaziz; Lauri Anttila; Adnan Kiayani; Mikko Valkama","2018","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2017.2706688","yes","not reported","closed-loop decorrelation","base-station and commercial LTE-A mobile PA","not reported","single and dual band","not reported","LTE/LTE-A","multiple physical setups","concurrent coefficient adaptation","single observation receiver","not reported","not reported","published RF improvements; no single cross-setup scalar used here","not reported","basis-dependent","main and learning costs discussed; exact unified real count not reported","not reported","measurement setup","yes","conditioning and feedback distortion affect convergence","direct prior to residual observer/decorrelation","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D012","Decorrelation-Based Piecewise Digital Predistortion: Operating Principle and RF Measurements","Mahmoud Abdelaziz; Lauri Anttila; Alberto Brihuega; Markus Allén; Mikko Valkama","2019","ISWCS 2019","https://doi.org/10.1109/ISWCS.2019.8877236","yes","not reported","piecewise GMP; decorrelation","RFHIC RTH26008N-30 GaN Doherty","2.62-2.69","20; 40","not reported","LTE-like 16-QAM","+39.5 dBm physical setup","piecewise orthogonalized decorrelation","closed-loop observation","not reported","not reported","20 MHz no DPD 28.46/29.41 dB; PW 45.24/44.39 dB; 40 MHz no DPD 28.91/31.67; PW 42.24/41.35","not reported","classical GMP 180; PW-GMP 192 coefficients","exact real operation count not reported","not reported","physical measurement","yes","regional model fixed; not structure discovery","local-region and decorrelation prior","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D013","Digital Predistortion Using a Vector-Switched Model","Sepideh Afsardoost; Thomas Eriksson; Christian Fager","2012","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2012.2184295","no","not reported","vector-switched; piecewise","physical PA","not reported","not reported","not reported","wideband modulated","authors' setup","piecewise model extraction","offline","not reported","not reported","not reported","not reported","not reported","routing plus active branch cost not fully normalized here","not reported","none reported","yes","different setup; switching transients not characterized for this project","prior to expert/region selection","no","physical-DPD","not reported","not reported","not reported"
"D014","Gradient-Adaptive Spline-Interpolated LUT Methods for Low-Complexity Digital Predistortion","Pablo Pascual Campo; Alberto Brihuega; Lauri Anttila; Matias Turunen; Dani Korpi; Markus Allén; Mikko Valkama","2021","IEEE Transactions on Circuits and Systems I","https://doi.org/10.1109/TCSI.2020.3034825","yes","not reported","SPH; SMP; complex spline LUT","Mini-Circuits; Skyworks; 64-element mmWave array","3.5; 3.65; 28","100; 200","491.52 for E1/E2; not reported here for E3","5G NR OFDM; 64-QAM OTA","three physical experiments E1/E2/E3","ILA iterations; LMS/decoupled LMS","feedback capture","NMSE not reported","E1 SPH 5.54%; SMP 5.57%; MP 5.47%; 28 GHz 200 MHz SPH 6.25%; SMP 6.20%; MP 6.13%","28 GHz 200 MHz no DPD 26.3 dB; SPH 34.1; SMP 34.4; MP 35.0","E3 PAPR about 7 dB","typical SPH 14; SMP 31; MP 24 complex coefficients","SPH 40; SMP 63; MP 112 real MUL/sample in representative setup","not reported","physical RF setup; no target FPGA","yes","different PA strata; cubic spline addressing cost target-dependent","closest physical prior to current spline-memory DPD","no","physical-DPD","not reported","paper-specific; see evidence and dataset fields","physical cascade; positive ACLR suppression magnitude in dB (larger is better)"
"D015","Piecewise Digital Predistortion for mmWave Active Antenna Arrays: Algorithms and Measurements","Alberto Brihuega; Mahmoud Abdelaziz; Lauri Anttila; Matias Turunen; Markus Allén; Thomas Eriksson; Mikko Valkama","2020","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2020.2994311","yes","not reported","piecewise closed-loop decorrelation; pruning","64-element AWMF-0129 active array","28","400","5x oversampled","5G NR OFDM 64-QAM","physical OTA","10 x 20k-sample update blocks","closed-loop","not reported","not reported","starting ACLR down to 21 dBc; about +4 dB usable EIRP versus references","about 7 dB","348 pruned to 96 basis functions","basic forward 935 paper FLOP/sample; orthogonalized up to 27847; pruned orthogonalized 2219","not reported","physical OTA","yes","some forward variants exceed project budget; beam-specific","closest pruning/residual-correlation prior","no","physical-DPD","not reported","not reported","physical cascade; paper-specific ACLR/EIRP convention"
"D016","Mixture of Experts Approach for Piecewise Modeling and Linearization of RF Power Amplifiers","Alberto Brihuega; Mahmoud Abdelaziz; Lauri Anttila; Yue Li; Anding Zhu; Mikko Valkama","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2021.3098867","no","not reported","mixture of experts; piecewise DPD","physical RF PA","not reported","not reported","not reported","wideband modulated","authors' physical setups","expert/gate training","conditioned routing","not reported","not reported","not reported","not reported","multiple experts","router plus active experts; exact project-normalized cost not reported","not reported","physical measurement","yes","generic MoE already known; switching and stored-bank cost","prior to frame-level expert bank","no","physical-DPD","not reported","not reported","not reported"
"D017","Comparison of Feature Selection Techniques for Power Amplifier Behavioral Modeling and Digital Predistortion Linearization","Abdoul Barry; Wantao Li; Juan A. Becerra; Pere L. Gilabert","2021","Sensors","https://doi.org/10.3390/s21175772","yes","not reported","GMP feature selection; DOMP; LASSO","physical load-modulated balanced amplifier","2.0","120 occupied spread; 200 modeling","614.4","4 x LTE20 64-QAM","physical LMBA; separate 307200-sample train/validation blocks","offline feature selection and LS","ILA/measurement feedback","not reported","DOMP 0.9-1.2%; LASSO 1.1-1.6%; no DPD 2.3-3.0%","17-term DOMP -45.0/-46.1 dBc; LASSO -41.0/-43.6; no DPD -31.7/-36.6","not reported","979 initial; 17 selected terms example","selected-term dependent; exact generated-basis real count not reported","not reported","RFSoC measurement platform","yes","offline selection cost and different PA","mandatory advisor baseline","no","physical-DPD","not reported","not reported","physical cascade; negative dBc absolute ACPR"
"D018","Sparse Flexible Reduced-Volterra Model for Power Amplifier Digital Pre-Distortion","Cyro S. Hemsi; Cristiano M. Panazio","2022","IEEE Access","https://doi.org/10.1109/ACCESS.2022.3223369","no","not reported","sparse reduced Volterra; LASSO; sparse-group LASSO","physical LTE capture","not reported","not reported","not reported","LTE","measured PA dataset with offline evaluation","LASSO/SGL and model selection","ILA/offline","not reported","not reported","about 3 dB ACPR advantage over GMP at comparable/lower running cost in paper setup","not reported","selected sparse groups","inference selected-term dependent; offline SLEP search up to thousands of iterations","not reported","none reported","physical data; DPD scoring classification limited by accessible text","calibration is not free; not OpenDPD setup","structured-sparsity comparator","no","physical-data/surrogate","not reported","measured-data PA behavioral-model prediction","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D019","A Doubly Orthogonal Matching Pursuit Algorithm for Sparse Predistortion of Power Amplifiers","Juan A. Becerra; María J. Madero-Ayora; Javier Reina-Tosina; Carlos Crespo-Cadenas; Javier García-Frías; Gonzalo Arce","2018","IEEE Microwave and Wireless Components Letters","https://doi.org/10.1109/LMWC.2018.2845947","yes","not reported","DOMP sparse DPD","physical GaN PA","not reported","15","not reported","OFDM","physical setup","greedy double orthogonal matching pursuit","offline selection plus physical evaluation","not reported","not reported","physical improvement published; exact table not reused without full setup","not reported","selected regressors","calibration greedy projection; deployed selected terms","not reported","physical measurement","yes","residual-correlation selection is prior art","mandatory correlation-selection baseline","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D020","Digital Predistortion for Power Amplifier Based on Sparse Bayesian Learning","Jun Peng; Songbai He; Bingwen Wang; Zhijiang Dai; Jingzhou Pang","2016","IEEE Transactions on Circuits and Systems II","https://doi.org/10.1109/TCSII.2016.2534718","no","not reported","sparse Bayesian DPD","physical PA","not reported","not reported","not reported","wideband modulated","authors' setup","sparse Bayesian regression","offline/feedback capture","not reported","not reported","not reported","not reported","sparse relevance set","calibration heavier than ridge; deployed selected terms","not reported","none reported","yes","detailed public operation count not reported","uncertainty-aware sparse comparator","no","physical-DPD","not reported","not reported","not reported"
"D021","A Sparse-Bayesian Approach for the Design of Robust Digital Predistorters Under Power-Varying Operation","Carlos Crespo-Cadenas; Maria J. Madero-Ayora; Juan A. Becerra; Sergio Cruces","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2022.3157586","no","not reported","robust sparse Bayesian DPD","physical PA","not reported","not reported","not reported","power-varying modulated waveform","multiple operating powers","sparse Bayesian active-set fit","recalibration across power","not reported","not reported","not reported","not reported","selected active terms","selected-term runtime; Bayesian calibration cost separate","not reported","physical measurement","yes","different operating-point setup","robust branch-selection baseline","no","physical-DPD","not reported","not reported","not reported"
"D022","Digital Predistortion of LTE-A Power Amplifiers Using Compressed-Sampling-Based Unstructured Pruning of Volterra Series","Abubaker Abdelhafiz; Andrew Kwan; Oualid Hammi; Fadhel M. Ghannouchi","2014","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2014.2360845","no","not reported","compressed sampling; Volterra pruning","physical LTE-A PA","not reported","not reported","not reported","LTE-A","authors' setup","compressed-sensing selection","offline fit","not reported","not reported","not reported","not reported","sparse Volterra","unstructured selected-term dependent","not reported","none reported","yes","irregular hardware routing and different PA","sparse dictionary prior","no","physical-DPD","not reported","not reported","not reported"
"D023","Efficient Digital Predistortion Using Sparse Neural Network","Masaaki Tanio; Naoto Ishii; Norifumi Kamiya","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.3005146","yes","not reported","structured sparse ETDNN","GaN Doherty","3.5","15","96","LTE","physical setup","group-lasso structured sparsification","offline training","not reported","not reported","similar ACLR to conventional NN in paper setup","not reported","about 40 active parameters in cited configuration","about 30x lower reported complexity than conventional NN; exact common convention not recovered","not reported","hardware-oriented analysis; no common target result","yes","narrower bandwidth and different cost convention","structured-neural sparsity prior","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D024","Decomposed Vector Rotation-Based Behavioral Modeling for Digital Predistortion of RF Power Amplifiers","Anding Zhu","2015","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2014.2387853","yes","not reported","DVR; modified CPWL","GaN class-AB ET; LDMOS Doherty","2.14","20; 60","122.88; 368.64","LTE; mixed GSM+LTE","two physical setups","linear least squares; ILA","physical feedback capture","not reported","not reported","ET DVR 54.4/54.0 dBc versus 30.8/32.1; Doherty LTE ACPR +28 dB","ET PAPR 6.5 dB","84; 95 coefficients","basis generation and phase restoration cost not fully reported","not reported","physical measurements","yes","coefficient count is not operations; different PA","CPWL/DVR baseline","no","physical-DPD","ET no DPD 8.42%; DVR 0.98%; Doherty no DPD 15.8%; DVR 0.69%","physical cascade; NRMSE is reported only in percent","physical cascade; positive suppression magnitude in dB/dBc; improvement noted separately"
"D025","Dynamic Behavioral Modeling of 3G Power Amplifiers Using Real-Valued Time-Delay Neural Networks","T. Liu; S. Boumaiza; F. M. Ghannouchi","2004","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2004.823583","no","not reported","RVTDNN behavioral model","physical PA data","not reported","not reported","not reported","3G waveform","measured dataset","backpropagation","offline model","not reported","not reported","not reported","not reported","not reported","dense network dependent","not reported","none reported","physical data only","behavioral-model evidence not deployed DPD","neural baseline history","no","physical-data/surrogate","not reported","not reported","not reported"
"D026","Adaptive Digital Predistortion of Wireless Power Amplifiers/Transmitters Using Dynamic Real-Valued Focused Time-Delay Line Neural Networks","M. Rawat; K. Rawat; F. M. Ghannouchi","2010","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2009.2036334","no","not reported","RVFTDNN adaptive DPD","physical transmitter/PA","not reported","not reported","not reported","wideband modulated","authors' physical setup","neural adaptive fit","feedback adaptation","not reported","not reported","not reported","not reported","architecture-dependent","dense per-sample path","not reported","none reported","yes","exact modern hardware budget not given","legacy neural comparator","no","physical-DPD","not reported","not reported","not reported"
"D027","Augmented Real-Valued Time-Delay Neural Network for Compensation of Distortions and Impairments in Wireless Transmitters","Dongming Wang; Mohsin Aziz; Mohamed Helaoui; Fadhel M. Ghannouchi","2019","IEEE Transactions on Neural Networks and Learning Systems","https://doi.org/10.1109/TNNLS.2018.2838039","no","not reported","augmented RVTDNN","physical transmitter","not reported","not reported","not reported","wideband wireless","authors' setup","backpropagation","offline/adaptive","not reported","not reported","not reported","not reported","not reported","dense network dependent","not reported","none reported","yes","joint impairments and different setup","neural impairment-compensation prior","no","physical-DPD","not reported","not reported","not reported"
"D028","Physically Inspired Neural Network Model for RF Power Amplifier Behavioral Modeling and Digital Predistortion","Farouk Mkadem; Slim Boumaiza","2011","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2010.2098041","no","not reported","physically inspired NN","physical RF PA","not reported","not reported","not reported","wideband modulated","authors' setup","neural training","offline/feedback","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none reported","yes","older setup; no common operation count","structured-neural prior","no","physical-DPD","not reported","not reported","not reported"
"D029","Vector Decomposition Based Time-Delay Neural Network Behavioral Model for Digital Predistortion of RF Power Amplifiers","Yikang Zhang; Yue Li; Falin Liu; Anding Zhu","2019","IEEE Access","https://doi.org/10.1109/ACCESS.2019.2927875","no","not reported","vector-decomposed TDNN","physical PA","not reported","not reported","not reported","wideband modulated","authors' setup","neural training","offline","not reported","not reported","not reported","not reported","not reported","not reported","not reported","none reported","yes","phase handling not identical to exact U(1) equivariance","phase-aware neural prior","no","physical-DPD","not reported","not reported","not reported"
"D030","Digital Predistortion of RF Power Amplifiers With Phase-Gated Recurrent Neural Networks","Tugce Kobal; Yue Li; Xiaoyu Wang; Anding Zhu","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2022.3161024","no","not reported","phase-gated JANET/RNN","physical PA","not reported","60; 100; 200","not reported","wideband OFDM","physical PA experiments","ILC teacher; two-stage adaptation","physical feedback/offline RNN","not reported","not reported","published physical improvements; exact unified row not reused","not reported","not reported","operations and fixed point not reported","not reported","physical measurements","yes","exact hardware cost unavailable","phase-aware recurrent teacher/reference","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D031","Vector Decomposed Long Short-Term Memory Model for Behavioral Modeling and Digital Predistortion for Wideband RF Power Amplifiers","Hongmin Li; Yikang Zhang; Gang Li; Falin Liu","2020","IEEE Access","https://doi.org/10.1109/ACCESS.2020.2984682","no","not reported","VDLSTM; SVDLSTM","physical PA","not reported","not reported","not reported","wideband modulated","authors' setup","backpropagation","offline DPD","not reported","not reported","not reported","not reported","architecture-dependent","dense recurrent path","not reported","none reported","yes","full LSTM and hardware cost not reported","neural memory reference","no","physical-DPD","not reported","not reported","not reported"
"D032","Digital Predistortion of RF Power Amplifiers With Decomposed Vector Rotation-Based Recurrent Neural Networks","Tugce Kobal; Anding Zhu","2022","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2022.3209658","no","not reported","DVR-JANET","physical wideband PA","not reported","not reported","not reported","wideband waveform","authors' physical setup","ILC-assisted recurrent training","physical feedback","not reported","not reported","not reported","not reported","reduced versus PG-JANET; exact value not reused","operations/fixed point not reported","not reported","physical measurement","yes","different setup and no target hardware","compact recurrent comparator","no","physical-DPD","not reported","not reported","not reported"
"D033","Deep Neural Network-Based Digital Predistorter for Doherty Power Amplifiers","Reina Hongyo; Yoshimasa Egashira; Thomas M. Hone; Keiichi Yamaguchi","2019","IEEE Microwave and Wireless Components Letters","https://doi.org/10.1109/LMWC.2018.2888955","no","not reported","deep NN DPD","physical Doherty PA","not reported","not reported","not reported","wideband modulated","authors' setup","backpropagation","offline/physical feedback","not reported","not reported","not reported","not reported","not reported","dense network dependent","not reported","none reported","yes","different PA and missing common count","neural baseline","no","physical-DPD","not reported","not reported","not reported"
"D034","Phase-Normalized Neural Network for Linearization of RF Power Amplifiers","Arne Fischer-Bühner; Lauri Anttila; Manil Dev Gomony; Mikko Valkama","2023","IEEE Microwave and Wireless Technology Letters","https://doi.org/10.1109/LMWT.2023.3290980","no","not reported","phase-normalized NN","GaN Doherty","3.5","not reported","not reported","wideband OFDM","physical setup","ILC-assisted neural training","physical feedback","not reported","not reported","ACLR below -50 dBc; about 4 dB improvement versus compared neural/polynomial models in paper","not reported","about 1000 parameters class","phase decomposition plus dense path; exact common count not reported","not reported","physical measurement","yes","no fixed-point/hardware result","supports phase equivariance","no","physical-DPD","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D035","Recursive Neural Network With Phase-Normalization for Modeling and Linearization of RF Power Amplifiers","Arne Fischer-Bühner; Lauri Anttila; Manil Dev Gomony; Mikko Valkama","2024","IEEE Microwave and Wireless Technology Letters","https://doi.org/10.1109/LMWT.2024.3393859","yes","not reported","PN-RNN","QPA3503 GaN Doherty","3.5","200","not reported","5G multicarrier; PAPR 8 dB","physical DPD","ILC teacher; BPTT 2200 epochs","physical feedback teacher","-42.8","1.89%","-50.0 dBc; no DPD -26.1; ILC -57.9","8 dB input waveform","1094 parameters; 13 states","not reported","not reported","none reported","yes","operations and fixed point not reported","compact-state quality reference","no","physical-DPD","not reported","paper-specific; see evidence and dataset fields","physical cascade; negative dBc absolute ACLR"
"D036","Sparsely Gated Mixture of Experts Neural Network for Linearization of RF Power Amplifiers","Arne Fischer-Bühner; Alberto Brihuega; Lauri Anttila; Matias Turunen; Vishnu Unnikrishnan; Manil Dev Gomony; Mikko Valkama","2024","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2023.3341616","yes","not reported","K-MENN sparse MoE","RFHIC and Qorvo GaN Doherty","1.842; 3.5","100; noncontiguous 160","not reported","OFDM","two physical PA setups","expert/gate neural training","envelope top-K routing","100 MHz K2 -41.8; K1 -41.0","K2 1.60%; K1 1.61%","K2 -49.1; K1 -47.9 dBc","not reported","N4 K2 stored 3960 active 2012; K1 active 1038","gate/top-K/input preparation not captured by active-parameter proxy","not reported","no sparse-routing accelerator reported","yes","per-sample routing and stored expert memory","direct prior to expert bank; prefer frame hard routing","no","physical-DPD","not reported","paper-specific; see evidence and dataset fields","physical cascade; negative dBc absolute ACLR"
"D037","Augmented Phase-Normalized Recurrent Neural Network for RF Power Amplifier Linearization","Arne Fischer-Bühner; Lauri Anttila; Matias Turunen; Manil Dev Gomony; Mikko Valkama","2025","IEEE Transactions on Microwave Theory and Techniques","https://doi.org/10.1109/TMTT.2024.3484581","yes","not reported","APNRRU; phase-normalized residual recurrence; envelope state","three GaN Doherty PA","not reported","up to 400 noncontiguous","983.04","256-QAM OFDM","three physical setups","ILC teacher plus recurrent training","physical feedback teacher","320 MHz -40.62; 400 MHz -35.93","320 MHz 0.93%; 400 MHz 1.24%","320 MHz -49.14; 400 MHz -45.24 dBc","not reported","about 1031 parameters","1187 real MUL; 1153 ADD; 39 activations; 1 phase decomposition/sample","not reported","none reported","yes","already above arithmetic proxy before memory/nonlinear latency; five instances trained and best-performing instance reported rather than mean/std","strong compact-state teacher/reference","no","physical-DPD","not reported","physical cascade","physical cascade; negative dBc absolute worst ACLR"
"D038","Design and Implementation of a Neural Network Based Predistorter for Enhanced Mobile Broadband","Chance Tarver; Alexios Balatsoukas-Stimming; Joseph R. Cavallaro","2019","arXiv preprint","https://arxiv.org/abs/1907.00766","no","not reported","neural DPD; FPGA-oriented","physical or hardware-in-loop setup described in paper","not reported","not reported","not reported","enhanced mobile broadband waveform","authors' setup","neural training","offline","not reported","not reported","not reported","not reported","not reported","not reported","not reported","FPGA implementation discussed","paper reports experimental implementation","different setup; exact common metrics not reused","early neural hardware prior","no","physical-DPD","not reported","not reported","not reported"
"D039","TCN-DPD: Parameter-Efficient Temporal Convolutional Networks for Wideband Digital Predistortion","Huanqiang Duan; Manno Versluis; Qinyu Chen; Leo C. N. de Vreede; Chang Gao","2025","IEEE MTT-S IMS 2025","https://doi.org/10.1109/IMS40360.2025.11103923","yes","not reported","dilated depthwise TCN","OpenDPD DPA digital transmitter capture via DGRU PA","not applicable physical carrier in local evaluation","200","800","10 x 20 MHz 64-QAM OFDM","OpenDPD DPA_200MHz; PA surrogate fidelity -31.84 dB","end-to-end through frozen DGRU; 5 seeds","surrogate feedback gradient","TCN500 -44.61 +/-1.37","-47.52 dB","L/R -51.58 +/-2.84 / -49.26 +/-2.04 dBc","not reported","about 500 parameters","full operation count not reported","not reported","none","no physical DPD; measured-source data only","noncausal look-ahead; metrics exceed evaluator fidelity","research comparator; requires causal ablation","no","physical-data/surrogate","not reported","surrogate cascade","surrogate cascade; negative dBc absolute left/right ACPR"
